,Podnaslov,Glavni naslov,Prvi paragraf,Datum objave vijesti
210,Čekajući snijeg,Sarajevske komunalne službe i preduzeća poručuju da spremni dočekuju zimu,"Komunalna preduzeća na području Sarajeva spremna su za zimske uvjete, navedeno je u informaciji koju će razmatrati Gradsko vijeće Grada Sarajeva na sjednici u srijedu.",30.10.2018. u 17:10
211,Uputili apel,ViK pozvao stanovnike Sarajeva da se ne rasipaju vodom,"Kantonalno javno komunalno preduzeće Vodovod i kanalizacija (ViK) d.o.o. Sarajevo pozvao je građane da maksimalno racionalno i štedljivo koriste vodu, bez nepotrebnih rasipanja.",26.10.2018. u 12:32
212,Ekipe na terenu,Brojna sarajevska naselja zbog popravke kvarova danas neće imati vode,"Uposlenici KJKP Vodovod i kanalizacija d.o.o. Sarajevo svakodnevno rade na popravkama kvarova u glavnom gradu BiH, što dovodi do prekida u vodosnabdijevanju.",22.10.2018. u 08:58
213,Tehnički problemi,ViK određenom broju stanovnika Sarajeva dostavio račune s pogrešnim iznosom dugovanja,"Preduzeće KJKP ""Vodovod i kanalizacija"" d.o.o. Sarajevo je prošlog mjeseca određenom broju svojih korisnika ispostavilo račune s pogrešno prikazanim saldom. Greška je, kažu, tehničke prirode zbog prelaska na novi sistem dostave računa.",17.10.2018. u 16:36
214,Revizija učinka,ViK za samo tri godine izgubio vodu u vrijednosti od 218 miliona KM,"KJKP Vodovod i kanalizacija d.o.o. Sarajevo je u periodu od 2015. do 2017. godine izgubio vodu u vrijednosti od 218 miliona i 655 hiljada KM, a Vlada Kantona Sarajevo jasno je navela kako rad ViK-a ocjenjuje nedovoljno uspješnim, piše u Izvještaju revizije učinka ""Efikasnost upravljanja gubicima vode u vodovodnim preduzećima"".",11.10.2018. u 09:45
215,Danima nestaje vode,"Vodovod Sarajevo: Svi iskaljuju bijes na nas, moramo raditi jer je vodovodna mreža stara","U nekoliko sarajevskih naselja danima dolazi do poremećaja u vodosnabdijevanju zbog čega su građani ogorčeni. Međutim, iz preduzeća Vodovod i kanalizacija ističu kako moraju raditi na realizaciji velikih projekata.",25.09.2018. u 16:53
216,Obimni radovi,"Popravljena cijev na Otoci, iz ViK-a ističu kako je kvar bio složen i nepredvidiv","Nakon što je jučer pukla vodovodna cijev u sarajevskom naselju Otoka, uz glavnu ulicu Zmaja od Bosne, kvar je popravljen i normalizovano je vodosnabdijevanje u ovom dijelu Sarajeva.",20.09.2018. u 20:39
217,Bez vode do 22 sata,"Nekoliko sarajevskih naselja i dalje bez vode, građani ogorčeni","Građani velikog broja sarajevskih naselja o jutarnjih sati su bez vode. Ljuti su jer nemaju informacije kada bi vodosnabdijevanje mogli biti normalizovano. Nakon velikog broja poziva za Klix.ba iz ViK-a je rečeno da se normalizacija očekuje oko 22 sata, ali ni to nije u potpunosti sigurno.",19.09.2018. u 19:43
218,Iako ima kvarova,Adem Zolj: U Sarajevu više nema redukcija vode,"U Sarajevu više nema redukcija vode, a primjenom sistemskih rješenja nastojat ćemo da se one ne ponove rekao je danas premijer Kantona Sarajevo Adem Zolj prilikom prezentacije Projekta smanjenja neprihodovane vode u Kantonu Sarajevo.",12.09.2018. u 14:51
219,Reakcija preduzeća,KJKP Vodovod i kanalizacija: Azra Muzur je na poziciju direktorice izabrana u skladu s propisima,"Iz KJKP Vodovod i kanalizacija reagovali su na navode koje se na današnjoj konferenciji za medije iznio politički direktor SDP-a Damir Mašić koji je, između ostalog, kazao da je Azra Muzur nezakonito izabrana na poziciju direktorice ovog javnog preduzeća.",05.09.2018. u 22:08
220,Press SDP-a,Mašić: Azra Muzur je nezakonito izabrana za direktoricu ViK-a,"Politički direktor SDP-a Damir Mašić istakao je na današnjoj konferenciji za medije da su javna preduzeća u KS-u u potpunosti postala stranačka, a da je Kantonalno javno komunalno preduzeće Vodovod i kanalizacija najdrastičniji primjer.",05.09.2018. u 16:14
221,Konačna odluka,Azra Muzur izabrana na puni mandat direktorice preduzeća Vodovod i kanalizacija Sarajevo,"Nadzorni odbor KJKP Vodovod i kanalizacija izabrao je Azru Muzur za direktoricu ovog javnog preduzeća. Muzur je ranije obavljala funkciju v.d. direktorice ViK-a, a novi premijer KS Adem Zolj pri dolasku na funkciju najavio je njenu smjenu. No, to se ipak nije desilo.",03.09.2018. u 21:13
222,Sukob unutar SDA,Konkurs ipak nije poništen: Obavljeni intervjui za novog direktora preduzeća Vodovod i kanalizacija,"Nadzorni odbor KJKP Vodovod i kanalizacija trebao bi naredne sedmice izabrati novog direktora ovog javnog kantonalnog preduzeća, saznaje Klix.ba.",29.08.2018. u 19:21
223,Rastegli se radovi,Vogošća drugi dan bez vode zbog kvara na rezervoaru,"Građani Vogošće od petka nemaju pristup čistoj vodi zbog kvara na rezervoaru ""Vogošća"".",18.08.2018. u 09:32
224,Uputstvo službama,ViK obećao obustavu redukcije vode u dijelu Sarajeva gdje su ključna dešavanja SFF-a,"Povodom početka 24. Sarajevo Film Festivala oglasili su se i iz preduzeća Vodovod i kanalizacija, poručivši da će poduzeti sve da ne dođe do redukcija vode na ključnim lokacijama gdje s eodržava SFF.",10.08.2018. u 13:52
225,Kredit EBRD-a,"Obnova vodovodne mreže u Sarajevu na čekanju, ViK nema menadžment u punom mandatu","Iako je Vlada KS-a kredit Evropske banke za obnovu i razvoj (EBRD) za obnovu vodovodne mreže u Sarajevu potpisala na proljeće 2017., a Skupština ga ubrzo nakon toga odobrila, on još uvijek nije aktivan. Kredit je težak 50 miliona KM.",01.08.2018. u 07:48
226,Odgovor ViK-a,"ViK: Gradnju smo započeli '78. godine, ali još uvijek smo čvrsto opredijeljeni da završimo zgradu","U KJKP Vodovod i kanalizacija reagovali su na tekst objavljen na portalu Klix.ba pod naslovom ""U Novom Sarajevu bi umjesto zgrade MUP-a mogao osvanuti novi stambeno-poslovni objekt"", napomenuvši da su još uvijek čvrsto opredijeljeni da izgrade savremenu poslovnu zgradu u Novom Sarajevu. O tome se, navode iz ViK-a, vode razgovori sa zainteresovanim subjektima, u obostranom interesu.",24.07.2018. u 11:12
227,Atraktivna lokacija,U Novom Sarajevu bi umjesto zgrade MUP-a mogao osvanuti novi stambeno-poslovni objekt,"Na atraktivnoj lokaciji u Novom Sarajevu, tačnije u Kolodvorskoj ulici, bi umjesto zgrade MUP-a KS mogao biti izgrađen još jedan stambeno-poslovni objekt.",20.07.2018. u 13:57
228,Agonija se nastavlja,Poništen konkurs za izbor novog direktora sarajevskog ViK-a,"Poništen je konkurs za izbor novog direktora Kantonalnog javnog komunalnog preduzeća Vodovod i kanalizacija d.o.o. Sarajevo, saznaje Klix.ba.",17.07.2018. u 14:32
229,Općinski sud,Potvrđena optužnica protiv Nermina Drnde i još šest osoba,"Općinski sud u Sarajevu potvrdio je optužnicu Tužilaštva KS protiv Nermina Drnde, Hajrudina Djedovića, Benjamina Kardaša, Rasima Ljucevića, Amira Bajrovića, Enesa Omerovića i Almedina Omerhodžića.",13.07.2018. u 11:53
230,Nakon pisanja Klixa,Zastupnici KS od ViK-a traže objašnjenje u vezi s postavljanjem betonskih šahtova,"Afera u vezi s preferiranjem proizvođača betonskih šahtova, za šta se optužuje KJKP ""Vodovod i kanalizacija"", a o čemu je pisao Klix.ba, jučer je bila jedna od tema na sjednici Skupštine KS.",26.06.2018. u 14:55
231,Malverzacije,Firma iz Velike Kladuše optužila sarajevski ViK da preferira proizvođače šahtova u KS,"Zastupnicima u Skupštini Kantona Sarajevo je povodom sjednice koja će biti održana u ponedjeljak dostavljen dopis kompanije Regeneracija iz Velike Kladuše, u kojem se ukazuje na nezakonito postupanje menadžmenta KJKP Vodovod i kanalizacija, odnosno v. d. direktorice Azre Muzur kod odobravanja projekata za postavljanje betonskih šahtova.",22.06.2018. u 11:06
232,25. juna,Skupština KS odlučuje o promjenama u upravljačkim strukturama 11 javnih preduzeća,"Skupština Kantona Sarajevo 25. juna održat će 43. redovnu sjednicu na kojoj će poslanici raspravljati o nekoliko bitnih tačaka, među kojim je i razrješenje i imenovanje upravljačkih struktura u 11 javnih preduzeća.",18.06.2018. u 09:51
233,Tokom kvara,ViK za mještane Velešića i Kobilje glave obezbijedio cisterne s vodom,"Zbog većeg kvara, uzrokovanog strujnim udarom, na hidro - mašinskoj i elektro opremi, na Pumpnoj stanici “Kobilja Glava”, naselja Gornji Velešići, Kobilja Glava, Abdurahmana Muharemije i Reisa Fehima Spahe, danas su ostali bez vodosnabdijevanja.",11.06.2018. u 15:50
234,Obavještenje ViK-a,"Zbog kvara na pumpnoj stanici Kobilja Glava i Velešići bez vode, radovi će trajati tri dana","Zbog većeg kvara na hidro-mašinskoj i elektro-opremi, na Pumpnoj stanici “Kobilja Glava”, u visočijim dijelovima naselja/ulica: Gornji Velešići, Kobilja glava, Abdurahmana Muharemije i Reisa Fehima Spahe, od danas u popodnevnim satima, doći će do prekida u vodosnabdijevanju, saopćeno je iz ViK-a.",11.06.2018. u 14:15
235,Zbog radova,Veliki broj sarajevskih naselja danas bez vode,U utorak će zbog popravke kvarova na vodovodnoj mreži dolaziti do poremećaja u vodosnabdijevanju u dijelovima pojedinih sarajevskih naselja.,05.06.2018. u 09:06
236,Građani zabrinuti,"Olovskom ulicom u sarajevskom naselju Šanac mjesecima teče voda, u ViK-u obećali saniranje kvara",Već nekoliko mjeseci u naselju Šanac u Općini Novo Sarajevo Olovskom ulicom teče voda koja stvara velike probleme mještanima.,30.05.2018. u 20:36
237,Reakcija preduzeća,ViK izjave Damira Saračevića nazvao neutemeljenim i kontradiktornim,"Iz Vodovoda i kanalizacije reagovali su na izjave Damira Saračevića, člana Nadzornog odbora ovog preduzeća koji je podnio ostavku na tu funkciju. On je u izjavi za Klix.ba rekao da je za vrijeme njegovog mandata vršen pritisak na Nadzorni odbor te da nije želio učestvovati u kompromitovanim procesima. Iz Vodovoda i kanalizacije su naveli da je Saračević davao neutemeljene izjave.",18.05.2018. u 16:10
238,Građani zabrinuti,"Tuzlanskom ulicom u Sarajevu teče kanalizacija, širi se neugodan miris i strah od zaraze","Prije nekoliko mjeseci u ulici Tuzlanska do broja 78, u naselju Buća Potok, počela je curiti tekućina u puknuću na asfaltu za koju se u vrijeme snijega i leda nije znalo odakle potiče. Međutim, vremenom se počeo osjetiti neugodan miris, a curenje je postalo sve jače.",17.05.2018. u 19:10
239,Pritisci na člana NO,Damir Saračević podnio ostavku u ViK-u: Ne želim sudjelovati u kompromitovanim procesima,"Damir Saračević podnio je ostavku na mjestu člana Nadzornog odbora u preduzeću Vodovod i kanalizacija. Za Klix.ba je rekao da je to učinio prije sjednice Nadzornog odbora na kojoj se trebalo glasati za novog direktora ovog preduzeća, a sve zbog toga što smatra da je cjelokupan proces kompromitovan.",17.05.2018. u 18:14
240,Unapređenje,ViK uvodi Call centar za korisnike usluga,"U cilju poboljšanja kvaliteta usluge KJKP Vodovod i kanalizacija d.o.o. Sarajevo, iz ovog preduzeća obavještavaju građane Kantona Sarajevo o promjenama u telekomunikaciji i novim telefonskim linijama koje će biti otvorene u okviru Call centra.",14.05.2018. u 12:26
241,Rekonstrukcija mreže,ViK Sarajevo završio sve aktivnosti za povlačenje 10 miliona eura od EBRD-a,"Na današnjoj Skupštini KS bit će razmatrana informacija Uprave KJKP Vodovod i kanalizacija za period od 17. marta do 10. aprila ove godine. U izvještaju se ističe kako je vodosnabdijevanje uredno, a popravke kvarova vrše redovno.",24.04.2018. u 10:52
242,Vruća stolica,Šest kandidata želi poziciju direktora Vodovoda i kanalizacije u Sarajevu,Na javni konkurs za direktora preduzeća Vodovod i kanalizacija u Kantonu Sarajevo prijavilo se šest kandidata među kojima će se birati novi direktor.,21.04.2018. u 08:12
243,Intervju,"Adem Zolj: Ima otvorenih pitanja u vezi s Konakovićevim ljudima, vrijeme je za GRAS i ViK","Adem Zolj, premijer Kantona Sarajevo, osvrnuo se u intervjuu za Klix.ba na svoje buduće planove, utiske iz premijerske fotelje, rad svog prethodnika, potencijalne smjene kadra i navodne ucjene da direktor Televizije Kantona Sarajevo podnese ostavku.",13.04.2018. u 15:21
244,Očekuje podršku,Premijer Zolj se sastao s ambasadorom Fergusonom: Dva ključna problema su ViK i GRAS,"Realizacija prve faze Projekta ""Jačanja upravljačke i operativne efikasnosti javnih preduzeća u Kantonu Sarajevo i gradu Banja Luka"", poboljšanje poslovne klime, te jačanje finansijskog sektora bili su povod današnjeg sastanka premijera KS Adema Zolja sa britanskim ambasadorom u BiH Edwardom Fergusonom.",13.04.2018. u 13:21
245,Neizvjesno ljeto,Zolj očekuje da novi menadžment ViK-a Sarajlijama osigura redovno vodosnabdijevanje,Premijer Kantona Sarajevo Adem Zolj je kazao da će ljetne redukcije zavisiti od prijedloga koji će im dati novi menadžment Vodovoda i kanalizacije.,12.04.2018. u 16:23
246,Vruća stolica,ViK objavio konkurs za izbor novog direktora preduzeća,KJKP Vodovod i kanalizacija je krajem marta raspisao konkurs za izbor i imenovanje novog direktora ovog sarajevskog preduzeća. Naknadno je donesena odluka da se konkurs objavi i na internetu što prvenstveno nije bio slučaj.,07.04.2018. u 21:50
247,Izvještaj ViK-a,Muzur: Renomirani hoteli vršili manipulacije na vodovodnim mjestima,"Vršiteljica dužnosti direktora KJKP Vodovod i kanalizacija kazala je danas zastupnicima u Skupštini Kantona Sarajevo da su ekipe ViK-a uvidjele brojne manipulacije na vodovodnim mjestima renomiranih hotela, autopraonica i kafića.",04.04.2018. u 15:29
248,Radovi na mreži,Dobrinja i sarajevski aerodrom u subotu bez vode,Stanovnici sarajevskog naselja Dobrinja i Međunarodni aerodrom Sarajevo su subotu će tokom većeg dijela dana ostati bez urednog vodosnabdijevanja.,09.03.2018. u 16:03
249,Kontrola trafoa,Veliki dio Sarajeva i danas bez vode,"Iz KJKP Vodovod i Kanalizacija d.o.o. Sarajevo obavijestili su potrošače da će se zbog redovnog održavanja i kontrole trafostanice na Pumpnoj stanici ""Hrasno"" danas od 9 do 16 sati isporuka vode u većem dijelu grada vršiti pod smanjenim pritiskom, na području dijelova grada od Marijin Dvora do Baščaršije.",28.02.2018. u 08:30
250,Cjelodnevni radovi,ViK: Uspostavljeno redovno snabdijevanje vodom u Kantonu Sarajevu,"Kantonalno javno komunalno preduzeće ""Vodovod i kanalizacija"" d.o.o. Sarajevo saopćilo je kako je nakon višesatne obustave omogućeno uredno snabdijevanje vodom svim potrošačima u Kantonu Sarajevo.",25.02.2018. u 18:32
251,Građani nestrpljivi,Sarajevski Vodovod moli za razumijevanje: Radimo u otežanim uslovima,"Od devet sati jutros građani velikog broja naselja u Sarajevu nemaju vodu, a razlog su radovi na redovnom održavanju i ispitivanju trafo-stanica na izvorištu Bačevo. Građani su ogorčeni jer se ti radovi vrše danas kada su najavljeni minusi i padavine jer strahuju da će im zalediti i popucati cijevi.",25.02.2018. u 16:27
252,Održavanje izvorišta,Veći dio Sarajeva danas bez vode do 20 sati,"Zbog redovnog održavanja i ispitivanja trafo-stanica na izvorištu Bačevo danas će veći dio Sarajeva biti do vode. Kako je saopćeno iz Vodovoda i kanalizacija, potpuna normalizacija u vodosnabdijevanju očekuje se do 20 sati.",25.02.2018. u 09:18
253,Višemilionska obnova,Velika aleja na Ilidži čeka novi sjaj dok se nadležni ne mogu dogovoriti o projektu,"Općina Ilidža obećala je još u augustu prošle godine započeti kompletnu obnovu Velike aleje, ali to se nije desilo zbog problema u vezi s projektnom dokumentacijom. Dok jedne institucije posjeduju projekt, druge tvrde da su ga uputile trećima, a treće da ga nemaju, Općina Ilidža nije ni tražila ovaj dokument koji je ključan za početak obnove šetališta u podnožju planine Igman.",17.02.2018. u 08:12
254,Pripreme za izbore,Konaković i SDA Novi Grad: Od ljubavi do nepodnošljive lakoće kadrovskog obračunavanja,"Najizraženiji sukob u okviru sarajevskog kantonalnog ogranka SDA već nekoliko mjeseci dešava se na relaciji premijer KS Elmedin Konaković - SDA Novi Grad. Nekada idiličan odnos pun podrške danas se sveo na prepucavanje saopćenjima i intenzivnim kritikama na račun premijera KS, što se prije svega ogleda u ocjeni rada određenih javnih preduzeća.",05.02.2018. u 20:11
255,Potpisan sporazum,Grad Sarajevo preuzeo dug za javne česme u općinama Stari Grad i Centar,"Gradonačelnik Sarajeva Abdulah Skaka i vršiteljica dužnosti KJKP Vodovod i kanalizacija (VIK) Azra Muzur potpisali su danas Ugovor o preuzimanju nadležnosti nad upravljanjem, održavanjem i plaćanjem računa za isporuku vode s javnih česmi i nužnika.",02.02.2018. u 16:55
256,Skupština KS,Sarajevski Vodovod traži dozvolu za zapošljavanje još 94 radnika,Direktorica KJKP Vodovod i kanalizacija KS Azra Muzur kazala je danas zastupnicima Skupštine KS kako je ovo preduzeće smanjilo svoja dugovanja otkako je nova uprava došla na čelo te da sada redovno izmiruju svoje obaveze.,31.01.2018. u 14:25
257,Obavijest iz ViK-a,Sarajevo: Prekidi u vodosnabdijevanju do kraja godine zbog popravki i radova,"U sklopu NRW projekta Tim za detekciju curenja i smanjenja neprihodovane vode u Kantonu Sarajevo, u saradnji sa konsultantom Vlade KS, provodi aktivnosti koje će podrazumijevati učestale, kratkotrajne poremećaje u vodosnabdijevanju, kako u dnevnim, tako i u noćnim satima. Završetak aktivnosti na ovom projektu očekuje se krajem 2018. godine.",24.01.2018. u 15:35
